lambda,xi,epsilon,fisher_median,fisher_p2_5,fisher_p97_5,kl_median,kl_p2_5,kl_p97_5
0.0,4.0,0.0001,428018.23865081364,428018.23865081364,428018.23865081364,0.8525941121094756,0.25061134541286817,1.4702711442463339
0.0,4.0,0.0003,641301.1593767367,641301.1593767367,641301.1593767367,0.8435641464721371,0.35006886294583195,1.4683444317802894
0.0,4.0,0.001,217467.1674011384,217467.1674011384,217467.1674011384,0.8281967603492526,0.4059311201018954,1.24785219452908
0.0,4.0,0.003,51397.34892792526,51397.34892792526,51397.34892792526,0.8505120908779055,0.3807753809209635,1.3706947667314058
0.0,4.0,0.01,3403.037648567769,3403.037648567769,3403.037648567769,0.8471706989104754,0.31955781204423866,1.3204450946400113
0.0,4.0,0.03,103.04629066189136,103.04629066189136,103.04629066189136,0.9288623472084623,0.4384469059460566,1.321171880620713
0.0,4.0,0.1,24.249001363563632,24.249001363563632,24.249001363563632,0.8564865980606338,0.4319772358831378,1.3339159471357165
0.0,8.0,0.0001,33085160.47365588,33085160.47365588,33085160.47365588,0.85444690499616,0.22465282210317816,1.3793447164265626
0.0,8.0,0.0003,7510000.157299503,7510000.157299503,7510000.157299503,0.8315903334245318,0.3516919462782838,1.349681382439354
0.0,8.0,0.001,551651.1970588512,551651.1970588512,551651.1970588512,0.8021490365491017,0.23969060776533327,1.2656906657451672
0.0,8.0,0.003,125879.03712342809,125879.03712342809,125879.03712342809,0.8630196756775356,0.28251769464503684,1.398452741215555
0.0,8.0,0.01,395.01552917972595,395.01552917972595,395.01552917972595,0.8098114088036648,0.3668968539026653,1.2646680404330777
0.0,8.0,0.03,237.02625765108087,237.02625765108087,237.02625765108087,0.8199185718770406,0.18647027011809056,1.347438332453685
0.0,8.0,0.1,3.0478174203095034,3.0478174203095034,3.0478174203095034,0.8338516488023067,0.25338982429223555,1.1736849646691356
0.0,16.0,0.0001,37750173.19029196,37750173.19029196,37750173.19029196,0.8336862305917865,0.19691187228993384,1.3666351797729612
0.0,16.0,0.0003,3745566.3374344497,3745566.3374344497,3745566.3374344497,0.8660072644520082,0.3653033390060517,1.3389641922558926
0.0,16.0,0.001,146524.44447840526,146524.44447840526,146524.44447840526,0.8953311311096439,0.33313451720387605,1.2671606704992366
0.0,16.0,0.003,37875.415308885196,37875.415308885196,37875.415308885196,0.877737375183174,0.3489005436845839,1.3835400488003224
0.0,16.0,0.01,3621.327866208539,3621.327866208539,3621.327866208539,0.8288255181689934,0.16333125095246348,1.3770235842840137
0.0,16.0,0.03,130.19423210024107,130.19423210024107,130.19423210024107,0.83475917127833,0.28755057357190994,1.4590511288427808
0.0,16.0,0.1,13.093958165735101,13.093958165735101,13.093958165735101,0.7884665797094091,0.2442367983137317,1.288580087223213
0.0,32.0,0.0001,16114377.560148463,16114377.560148463,16114377.560148463,0.8803892279174619,0.2363004367342551,1.3389327805116402
0.0,32.0,0.0003,7192638.398627629,7192638.398627629,7192638.398627629,0.7537797938879065,0.2857006063762499,1.3958092656146524
0.0,32.0,0.001,175667.11846244562,175667.11846244562,175667.11846244562,0.7982116564364218,0.3351547901699244,1.3398929949737746
0.0,32.0,0.003,46669.337748176666,46669.337748176666,46669.337748176666,0.8726387246750593,0.3360342638830965,1.383841488462835
0.0,32.0,0.01,2721.071570098721,2721.071570098721,2721.071570098721,0.8296962652267657,0.180851009486476,1.378885090641028
0.0,32.0,0.03,184.5702751046649,184.5702751046649,184.5702751046649,0.8669298413585314,0.42825346380908563,1.3819042151169965
0.0,32.0,0.1,26.511550577941478,26.511550577941478,26.511550577941478,0.812461317214809,0.27332105256274275,1.3609631908876054
0.0,64.0,0.0001,40887587.20805029,40887587.20805029,40887587.20805029,0.8393408440432173,0.3130142624948043,1.2100230303617914
0.0,64.0,0.0003,4450410.124131863,4450410.124131863,4450410.124131863,0.8739489526764629,0.2321985442944202,1.273371590573081
0.0,64.0,0.001,404185.8012210037,404185.8012210037,404185.8012210037,0.8345922422395435,0.3607500612683963,1.3190450862037322
0.0,64.0,0.003,109772.79486152639,109772.79486152639,109772.79486152639,0.9480647872402075,0.2702881610077654,1.367880513250936
0.0,64.0,0.01,209.71445854705516,209.71445854705516,209.71445854705516,0.8262808093634573,0.3517988162242454,1.2480812054946682
0.0,64.0,0.03,702.6201730840863,702.6201730840863,702.6201730840863,0.9976415374909511,0.3926201852257848,1.3806934882295414
0.0,64.0,0.1,50.1135358011018,50.1135358011018,50.1135358011018,0.8341248383173612,0.37664632282430777,1.3535381723538262
0.0,128.0,0.0001,49237291.872784436,49237291.872784436,49237291.872784436,0.8393275974276122,0.24681670454250446,1.3131767206220213
0.0,128.0,0.0003,913924.5002174156,913924.5002174156,913924.5002174156,0.7772311067149562,0.29600765272087315,1.3196118335570333
0.0,128.0,0.001,274264.2609870066,274264.2609870066,274264.2609870066,0.8245466436743085,0.17902638469097235,1.2238667003163843
0.0,128.0,0.003,43172.97502652333,43172.97502652333,43172.97502652333,0.828617965068513,0.32303532816170366,1.3142383790241166
0.0,128.0,0.01,4777.407136091853,4777.407136091853,4777.407136091853,0.8133406664874198,0.2916503914154959,1.324540724484051
0.0,128.0,0.03,473.4766375297335,473.4766375297335,473.4766375297335,0.7691100781588597,0.33459985277593096,1.3214007969786787
0.0,128.0,0.1,10.847842558846722,10.847842558846722,10.847842558846722,0.8430435523415976,0.3762672427935597,1.2599780115761752
0.0,256.0,0.0001,12657866.804547813,12657866.804547813,12657866.804547813,0.8458165328860394,0.41043074484106884,1.3726190124944282
